family,num_rows,num_resolved,resolution_rate,corr_rstar_Delta_resolved,corr_rstar_theta_resolved,mean_r_star_resolved,mean_t_count_estimate_total_resolved
local shifted TFIM,21,21,1.0,-0.964013314337601,1.0930153066203479e-17,17.285714285714285,19174.095238095237
random two-local,336,336,1.0,0.42519785556837736,-0.20381577226547354,133.17857142857142,604358.1071428572
structured dipolar,21,21,1.0,0.8574444039795148,-3.444280834059471e-17,182.61904761904762,825491.7142857143
